id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
41,Male,Loyal Customer,43,Business travel,Business,3745,4,2,3,5,2,4,2,4,1,3,3,3,3,2,10,0.0,satisfied
42,Female,Loyal Customer,83,Business travel,Eco,946,2,4,3,4,4,2,4,3,2,4,4,2,2,3,7,19.0,satisfied
43,Female,Loyal Customer,47,Personal Travel,Eco,4615,4,4,4,1,4,4,2,4,4,3,1,3,3,4,2,0.0,satisfied
44,Male,disloyal Customer,76,Business travel,Business,3710,3,4,4,4,4,2,2,2,4,4,4,3,4,5,8,10.0,satisfied
45,Male,disloyal Customer,64,Personal Travel,Business,1588,3,1,3,5,4,5,4,3,4,5,3,2,0,4,1,15.0,neutral or dissatisfied
46,Female,Loyal Customer,17,Business travel,Eco,4742,4,4,3,1,5,3,4,2,3,3,3,1,5,3,4,6.0,neutral or dissatisfied
47,Male,Loyal Customer,57,Personal Travel,Eco,1279,4,4,1,4,2,4,3,3,4,4,1,4,2,2,1,5.0,neutral or dissatisfied
48,Female,Loyal Customer,75,Personal Travel,Business,3240,3,3,5,4,2,4,1,3,3,2,1,1,4,5,13,17.0,neutral or dissatisfied
49,Female,Loyal Customer,17,Business travel,Eco,3367,4,5,3,3,3,2,3,3,4,2,3,5,4,3,29,38.0,neutral or dissatisfied
50,Female,Loyal Customer,72,Personal Travel,Eco,4817,3,2,3,0,2,4,3,3,5,2,4,2,3,2,18,28.0,neutral or dissatisfied
51,Female,disloyal Customer,15,Business travel,Eco,2871,1,4,4,3,2,3,4,3,2,2,4,4,4,4,0,0.0,satisfied
52,Male,Loyal Customer,74,Personal Travel,Business,4972,3,2,3,2,4,3,3,3,3,3,3,4,2,2,22,32.0,satisfied
53,Male,Loyal Customer,68,Personal Travel,Business,1457,1,4,4,5,2,2,1,4,2,5,2,2,1,4,3,3.0,satisfied
54,Male,disloyal Customer,18,Personal Travel,Business,4018,4,4,4,3,3,5,2,2,2,2,2,4,4,3,11,5.0,satisfied
55,Male,Loyal Customer,63,Personal Travel,Eco,1264,4,5,3,3,1,2,3,4,4,3,1,3,2,3,2,0.0,neutral or dissatisfied
56,Male,Loyal Customer,16,Business travel,Eco,4996,4,4,3,2,3,4,3,2,1,3,3,4,5,0,1,3.0,neutral or dissatisfied
57,Female,disloyal Customer,51,Business travel,Business,3830,4,3,2,3,4,3,2,0,2,2,5,4,4,4,13,9.0,neutral or dissatisfied
58,Male,Loyal Customer,79,Business travel,Eco,3147,4,2,3,3,4,4,2,5,4,3,3,4,2,2,15,15.0,satisfied
59,Female,Loyal Customer,23,Personal Travel,Business,378,1,3,4,2,4,5,4,2,3,4,2,2,4,2,20,20.0,satisfied
60,Female,Loyal Customer,20,Personal Travel,Eco,2510,3,2,2,3,3,3,4,3,4,5,3,3,4,3,7,9.0,satisfied
61,Female,disloyal Customer,39,Business travel,Business,762,1,4,2,2,4,3,4,1,2,4,3,2,5,3,5,11.0,neutral or dissatisfied
62,Female,Loyal Customer,35,Business travel,Eco,4592,3,4,2,0,3,3,3,3,3,3,1,2,3,5,11,20.0,satisfied
63,Male,Loyal Customer,10,Business travel,Eco,1926,5,1,3,4,3,4,3,3,5,3,3,4,3,1,0,9.0,satisfied
64,Female,Loyal Customer,42,Personal Travel,Eco,4163,4,3,5,4,3,3,4,3,2,3,3,4,4,3,9,21.0,neutral or dissatisfied
65,Male,Loyal Customer,27,Personal Travel,Business,4535,4,3,4,3,4,4,3,2,3,3,3,4,3,4,6,4.0,satisfied
66,Male,disloyal Customer,16,Business travel,Business,595,3,2,1,3,2,3,4,3,4,3,5,3,2,3,14,9.0,satisfied
67,Female,Loyal Customer,28,Business travel,Business,3808,2,3,4,3,2,5,4,4,2,3,3,3,4,3,15,15.0,satisfied
68,Male,disloyal Customer,8,Business travel,Eco Plus,1548,3,5,3,4,3,1,4,3,4,2,5,2,5,5,11,8.0,neutral or dissatisfied
69,Male,Loyal Customer,78,Business travel,Business,588,4,4,4,2,2,4,3,3,1,4,2,4,3,3,4,0.0,satisfied
70,Male,Loyal Customer,84,Personal Travel,Eco,1340,3,4,3,4,2,3,3,4,1,3,2,4,2,5,14,12.0,satisfied
71,Female,disloyal Customer,35,Business travel,Eco,2772,1,2,2,1,3,3,1,3,4,2,2,3,3,4,28,33.0,neutral or dissatisfied
72,Male,Loyal Customer,75,Business travel,Business,4283,3,3,3,3,4,4,3,5,2,5,4,4,2,4,12,21.0,satisfied
73,Male,Loyal Customer,42,Business travel,Business,3473,1,2,3,3,4,3,3,3,3,3,2,2,3,3,10,10.0,satisfied
74,Male,disloyal Customer,78,Business travel,Business,1204,4,3,3,4,3,3,2,4,4,1,2,3,3,1,3,11.0,neutral or dissatisfied
75,Female,Loyal Customer,20,Personal Travel,Eco,1515,2,3,2,2,3,4,5,4,4,4,4,4,4,4,7,7.0,satisfied
76,Male,Loyal Customer,29,Business travel,Eco Plus,1555,2,4,2,2,5,5,4,1,2,2,3,2,5,4,2,,satisfied
77,Male,disloyal Customer,64,Business travel,Business,3693,4,4,4,1,2,0,2,4,4,3,4,5,4,4,17,7.0,neutral or dissatisfied
78,Male,Loyal Customer,24,Business travel,Eco Plus,2618,4,4,4,2,3,5,5,2,3,3,2,2,2,3,8,11.0,neutral or dissatisfied
79,Female,Loyal Customer,71,Personal Travel,Business,168,3,2,4,3,2,5,3,2,4,4,2,3,4,2,25,11.0,neutral or dissatisfied
80,Female,Loyal Customer,40,Personal Travel,Business,426,5,2,2,1,2,1,4,3,3,3,5,3,3,5,2,0.0,neutral or dissatisfied
81,Female,Loyal Customer,38,Business travel,Eco,424,4,4,2,3,4,3,3,3,2,4,2,4,3,4,8,0.0,satisfied
82,Male,Loyal Customer,42,Business travel,Eco,4808,2,5,2,4,3,5,3,1,2,1,2,4,3,1,29,28.0,neutral or dissatisfied
83,Male,Loyal Customer,69,Business travel,Business,2548,4,3,4,3,4,4,3,3,1,2,4,5,3,3,10,11.0,satisfied
84,Female,Loyal Customer,7,Business travel,Eco,2480,3,1,2,3,3,5,5,3,3,3,0,3,4,3,1,0.0,neutral or dissatisfied
85,Female,Loyal Customer,65,Business travel,Eco,3817,4,5,4,1,4,4,4,4,4,2,4,3,4,0,3,9.0,satisfied
86,Female,Loyal Customer,67,Personal Travel,Eco,992,3,4,4,3,2,1,3,3,2,3,5,1,2,2,4,4.0,neutral or dissatisfied
87,Male,Loyal Customer,71,Personal Travel,Eco,206,3,3,4,3,4,5,1,5,3,4,4,2,2,5,4,0.0,neutral or dissatisfied
88,Male,Loyal Customer,84,Business travel,Business,1390,1,2,4,3,4,4,4,4,2,2,2,3,4,1,18,18.0,neutral or dissatisfied
89,Female,Loyal Customer,68,Business travel,Business,1082,3,3,4,3,1,5,2,3,5,2,2,3,4,2,15,9.0,satisfied
90,Female,Loyal Customer,48,Business travel,Eco,4000,3,4,1,3,2,2,4,5,2,3,3,3,5,1,1,0.0,satisfied
91,Male,Loyal Customer,43,Business travel,Eco,4101,2,4,4,2,4,2,2,5,3,1,4,4,3,1,3,0.0,satisfied
92,Female,disloyal Customer,37,Business travel,Business,3188,3,2,3,2,5,3,3,3,2,4,5,3,4,1,1,1.0,satisfied
93,Female,Loyal Customer,71,Business travel,Business,4554,3,3,3,4,4,5,2,2,3,3,5,3,4,2,49,47.0,satisfied
94,Male,Loyal Customer,37,Personal Travel,Business,2349,3,2,4,2,3,5,4,4,4,3,3,5,1,5,3,1.0,satisfied
95,Female,disloyal Customer,51,Business travel,Eco,1240,1,5,3,3,2,2,1,2,1,2,3,3,1,4,7,6.0,neutral or dissatisfied
96,Male,Loyal Customer,14,Personal Travel,Business,1691,3,4,2,5,4,3,4,2,4,4,2,4,4,3,41,42.0,neutral or dissatisfied
97,Male,Loyal Customer,31,Business travel,Business,751,2,2,4,4,3,5,4,5,5,3,4,2,4,5,23,22.0,neutral or dissatisfied
98,Female,Loyal Customer,27,Business travel,Business,4508,3,2,3,4,3,3,3,4,3,4,4,3,5,3,23,8.0,satisfied
99,Female,Loyal Customer,40,Business travel,Eco,3040,3,3,2,3,3,4,3,2,2,1,3,2,5,2,16,16.0,neutral or dissatisfied
100,Male,Loyal Customer,46,Personal Travel,Eco,3874,3,2,2,3,4,3,4,5,3,3,3,5,3,3,11,4.0,neutral or dissatisfied
101,Female,Loyal Customer,62,Business travel,Business,1443,3,3,2,2,5,4,3,2,3,3,5,2,3,1,22,30.0,satisfied
102,Male,Loyal Customer,40,Business travel,Business,3604,3,2,2,3,4,2,3,4,5,3,4,3,2,1,8,11.0,satisfied
103,Female,Loyal Customer,18,Personal Travel,Business,1686,4,2,4,4,3,2,3,2,4,5,1,2,4,4,3,10.0,neutral or dissatisfied
104,Male,disloyal Customer,49,Personal Travel,Eco,2257,3,3,2,3,2,3,5,5,4,1,3,2,1,4,9,5.0,satisfied
105,Female,Loyal Customer,11,Personal Travel,Eco,3276,5,3,1,4,4,3,2,3,5,1,3,3,2,2,2,9.0,satisfied
106,Female,Loyal Customer,73,Business travel,Eco,4906,4,5,3,4,5,3,4,3,5,3,3,3,4,4,16,8.0,satisfied
107,Female,Loyal Customer,67,Business travel,Eco,2813,5,4,2,3,4,4,3,1,3,1,5,4,2,4,5,5.0,satisfied
108,Female,disloyal Customer,24,Personal Travel,Business,3564,5,2,3,3,3,5,3,5,3,5,3,2,3,3,1,0.0,neutral or dissatisfied
109,Male,Loyal Customer,27,Business travel,Business,2993,5,1,4,1,2,3,2,3,5,4,2,2,3,2,9,13.0,satisfied
110,Female,Loyal Customer,9,Business travel,Business,2146,2,3,3,5,3,2,1,4,2,4,2,4,2,4,0,,satisfied
111,Male,Loyal Customer,35,Business travel,Business,4666,4,3,5,3,4,3,4,3,3,4,4,5,1,4,27,29.0,neutral or dissatisfied
112,Female,Loyal Customer,9,Business travel,Business,4804,4,4,3,4,3,2,2,3,2,4,2,3,4,5,2,0.0,satisfied
113,Female,Loyal Customer,80,Personal Travel,Eco,1586,5,3,4,3,3,1,4,1,1,2,3,4,3,4,2,0.0,neutral or dissatisfied
114,Male,Loyal Customer,17,Personal Travel,Business,4483,2,1,2,3,2,4,2,3,2,3,4,5,4,1,1,25.0,neutral or dissatisfied
115,Female,Loyal Customer,58,Business travel,Eco,2283,4,2,3,3,5,3,4,3,2,3,2,5,3,2,14,20.0,neutral or dissatisfied
116,Female,disloyal Customer,51,Personal Travel,Business,3712,3,2,2,2,2,3,3,4,3,2,2,3,3,3,10,4.0,satisfied
117,Male,Loyal Customer,25,Business travel,Business,2609,5,3,2,0,2,1,3,5,4,2,1,4,3,4,0,7.0,neutral or dissatisfied
118,Male,Loyal Customer,70,Business travel,Eco,3846,1,2,3,4,3,3,2,4,3,2,2,3,3,4,22,22.0,satisfied
119,Male,Loyal Customer,15,Business travel,Business,4364,2,3,2,4,3,2,4,4,4,3,3,1,3,3,9,30.0,satisfied
120,Male,Loyal Customer,76,Personal Travel,Business,2146,1,2,3,2,4,3,4,3,3,4,3,3,2,1,9,9.0,satisfied
121,Male,Loyal Customer,64,Business travel,Business,3518,3,3,3,3,4,3,3,2,3,2,2,5,5,5,3,1.0,neutral or dissatisfied
122,Female,Loyal Customer,56,Business travel,Eco,2561,5,3,3,4,2,3,4,3,3,3,3,2,4,5,1,1.0,satisfied
123,Female,Loyal Customer,75,Personal Travel,Business,4005,3,5,2,2,2,2,3,2,5,3,4,1,5,2,12,9.0,satisfied
124,Male,Loyal Customer,38,Business travel,Eco Plus,998,3,3,4,3,2,2,2,3,3,1,4,4,5,4,17,12.0,neutral or dissatisfied
125,Female,Loyal Customer,28,Personal Travel,Eco Plus,3658,4,2,5,4,4,3,4,3,4,3,5,1,3,3,1,0.0,neutral or dissatisfied
126,Female,Loyal Customer,19,Business travel,Eco,2997,3,5,5,1,3,4,3,1,2,3,2,1,3,4,29,26.0,satisfied
127,Male,Loyal Customer,79,Business travel,Business,2284,3,3,5,4,3,3,0,5,3,2,3,1,3,5,2,8.0,satisfied
128,Female,Loyal Customer,38,Personal Travel,Eco,1881,3,4,3,3,3,2,3,3,5,2,3,1,3,5,27,25.0,neutral or dissatisfied
129,Female,Loyal Customer,71,Business travel,Business,3523,2,2,3,5,2,2,1,3,4,4,3,4,4,4,20,16.0,neutral or dissatisfied
130,Female,Loyal Customer,32,Business travel,Eco,1769,3,3,4,4,2,2,2,2,2,4,3,3,2,3,0,0.0,neutral or dissatisfied
131,Female,Loyal Customer,81,Business travel,Eco,212,4,2,3,3,2,3,3,3,2,3,1,5,2,3,0,,satisfied
132,Female,Loyal Customer,74,Personal Travel,Business,4743,4,3,1,3,3,2,3,2,5,5,3,4,2,3,0,12.0,satisfied
133,Male,disloyal Customer,31,Personal Travel,Business,2266,4,4,4,5,3,3,2,2,3,4,4,5,3,5,2,0.0,satisfied
134,Female,disloyal Customer,44,Personal Travel,Eco,865,3,2,3,3,2,5,4,3,3,4,5,2,3,3,65,60.0,neutral or dissatisfied
135,Female,Loyal Customer,68,Business travel,Eco,1167,3,2,1,4,3,3,3,3,2,2,5,3,3,4,0,0.0,neutral or dissatisfied
136,Male,Loyal Customer,24,Business travel,Eco,4158,4,3,2,3,4,2,3,4,3,4,3,2,3,4,3,9.0,satisfied
137,Female,Loyal Customer,8,Business travel,Eco,1691,2,2,3,4,2,1,3,3,5,2,4,3,2,2,26,34.0,neutral or dissatisfied
138,Male,Loyal Customer,29,Business travel,Eco,1443,2,1,3,4,3,5,5,3,2,4,4,5,4,4,43,44.0,satisfied
139,Male,Loyal Customer,53,Personal Travel,Eco,2462,3,3,3,3,4,4,1,3,3,0,3,3,2,2,1,0.0,satisfied
140,Male,disloyal Customer,17,Business travel,Eco,191,2,3,5,3,3,4,5,4,4,2,2,3,2,2,15,18.0,neutral or dissatisfied
141,Female,disloyal Customer,33,Business travel,Business,2823,3,3,2,3,1,4,3,2,2,1,3,3,2,4,2,3.0,neutral or dissatisfied
142,Male,Loyal Customer,78,Business travel,Eco,250,4,4,3,1,3,4,2,4,2,3,3,3,3,2,0,2.0,satisfied
143,Male,Loyal Customer,12,Business travel,Eco,4186,2,4,2,3,2,3,3,2,3,1,4,3,4,4,8,0.0,neutral or dissatisfied
144,Male,Loyal Customer,10,Business travel,Business,2174,3,3,4,3,3,2,2,3,3,3,1,4,3,4,0,0.0,satisfied
145,Female,Loyal Customer,40,Business travel,Business,1130,2,2,2,2,3,5,2,2,2,4,3,2,1,5,5,0.0,satisfied
146,Female,disloyal Customer,8,Business travel,Business,2299,2,2,3,1,5,3,4,3,4,2,5,3,4,4,29,38.0,neutral or dissatisfied
147,Male,Loyal Customer,9,Business travel,Business,919,5,4,4,3,3,3,3,4,3,3,4,3,4,2,2,,satisfied
148,Male,disloyal Customer,21,Business travel,Eco,1635,2,3,4,3,1,3,1,4,1,3,2,2,3,4,27,15.0,satisfied
149,Female,Loyal Customer,14,Personal Travel,Business,697,2,2,5,3,3,3,4,4,4,3,2,3,3,4,26,20.0,satisfied
150,Male,Loyal Customer,70,Business travel,Eco,3360,3,2,1,2,5,4,4,3,3,4,3,4,5,4,14,8.0,neutral or dissatisfied
151,Female,Loyal Customer,16,Business travel,Business,4881,3,4,4,3,3,4,2,4,4,2,4,2,2,4,15,,neutral or dissatisfied
152,Male,Loyal Customer,47,Business travel,Eco,2452,4,3,3,3,3,3,3,2,5,4,4,5,4,2,7,7.0,satisfied
153,Female,Loyal Customer,62,Business travel,Eco,538,5,4,3,4,3,3,4,3,3,3,3,5,5,4,0,12.0,neutral or dissatisfied
154,Male,Loyal Customer,55,Personal Travel,Eco,416,2,4,3,2,4,4,1,3,2,1,4,3,3,2,19,17.0,neutral or dissatisfied
155,Male,Loyal Customer,58,Business travel,Eco,4169,2,3,4,4,3,2,4,4,5,3,3,4,2,3,9,,neutral or dissatisfied
156,Female,disloyal Customer,34,Personal Travel,Business,1772,5,4,4,5,1,5,2,3,2,3,4,4,5,2,19,14.0,neutral or dissatisfied
157,Male,Loyal Customer,76,Personal Travel,Eco,1515,4,3,4,3,2,3,4,4,5,2,4,4,4,1,2,0.0,neutral or dissatisfied
158,Female,Loyal Customer,12,Business travel,Eco,554,4,3,3,3,3,5,2,3,3,5,3,3,4,3,0,8.0,neutral or dissatisfied
159,Female,Loyal Customer,15,Business travel,Business,3335,2,1,5,4,4,2,4,4,3,4,2,5,3,3,21,36.0,neutral or dissatisfied
160,Female,Loyal Customer,73,Business travel,Eco Plus,361,4,2,3,2,2,4,3,2,5,2,4,2,4,5,3,6.0,neutral or dissatisfied
161,Female,Loyal Customer,12,Business travel,Business,4525,4,2,1,2,3,2,3,3,4,4,3,3,2,5,7,2.0,satisfied
162,Female,Loyal Customer,21,Business travel,Eco,1081,3,3,3,3,3,3,2,3,5,4,1,3,4,3,10,12.0,satisfied
163,Male,Loyal Customer,20,Business travel,Business,391,2,3,3,5,2,4,4,4,3,3,5,4,3,4,25,12.0,satisfied
164,Male,Loyal Customer,9,Business travel,Eco,3517,3,3,4,2,3,3,2,2,3,2,3,5,1,3,22,21.0,neutral or dissatisfied
165,Male,disloyal Customer,16,Business travel,Business,1803,5,3,2,5,4,5,4,2,0,2,3,3,2,3,1,0.0,satisfied
166,Female,Loyal Customer,51,Business travel,Business,3495,2,2,4,3,2,4,3,1,4,4,3,4,4,3,22,25.0,satisfied
167,Male,disloyal Customer,58,Business travel,Business,246,2,4,1,3,3,2,2,4,4,4,4,3,3,3,0,0.0,satisfied
168,Male,Loyal Customer,13,Personal Travel,Eco Plus,4313,2,5,4,4,2,4,3,4,3,3,2,3,4,3,2,8.0,neutral or dissatisfied
169,Male,Loyal Customer,80,Business travel,Business,1583,3,3,3,5,2,3,3,1,4,4,3,4,3,4,11,16.0,satisfied
170,Male,Loyal Customer,14,Business travel,Eco,3794,3,2,3,3,2,4,2,3,3,5,4,3,3,2,12,8.0,neutral or dissatisfied
171,Male,Loyal Customer,60,Personal Travel,Eco,4681,4,2,5,4,5,3,3,3,2,5,4,4,4,3,5,13.0,neutral or dissatisfied
172,Male,Loyal Customer,69,Personal Travel,Eco,2700,4,3,4,2,1,4,4,5,4,5,1,3,5,4,16,7.0,satisfied
173,Female,Loyal Customer,47,Business travel,Business,1703,3,2,2,2,2,3,4,3,3,3,4,2,3,3,33,54.0,satisfied
174,Female,Loyal Customer,45,Business travel,Eco,1597,3,1,3,2,3,3,4,4,4,2,3,3,4,3,2,0.0,neutral or dissatisfied
175,Female,Loyal Customer,15,Business travel,Eco Plus,3447,4,1,5,2,4,4,5,3,3,3,2,3,4,4,19,24.0,neutral or dissatisfied
176,Male,Loyal Customer,25,Personal Travel,Business,78,1,4,5,4,5,1,3,2,3,3,1,4,3,2,9,18.0,neutral or dissatisfied
177,Female,Loyal Customer,73,Business travel,Business,777,4,4,4,3,3,3,4,4,3,2,5,5,2,4,37,38.0,satisfied
178,Male,disloyal Customer,34,Business travel,Eco,3253,2,5,1,5,4,2,3,4,2,3,3,3,5,3,29,21.0,satisfied
179,Female,Loyal Customer,9,Business travel,Business,177,3,3,4,5,3,2,5,2,3,2,3,5,3,4,12,6.0,satisfied
180,Female,disloyal Customer,63,Business travel,Business,1484,3,2,2,3,3,2,2,4,4,4,2,4,3,3,0,0.0,neutral or dissatisfied
181,Female,Loyal Customer,60,Business travel,Business,3256,3,3,4,2,3,3,5,2,2,5,2,2,2,2,40,40.0,satisfied
182,Male,disloyal Customer,12,Personal Travel,Eco,1287,4,1,2,4,1,3,5,1,2,5,4,3,3,2,9,,satisfied
183,Male,disloyal Customer,10,Business travel,Eco Plus,4657,3,1,4,4,3,4,2,3,4,3,2,4,2,5,7,10.0,neutral or dissatisfied
184,Female,Loyal Customer,16,Business travel,Eco,4875,3,3,2,3,3,4,4,4,3,3,5,4,3,3,3,3.0,satisfied
185,Male,Loyal Customer,10,Business travel,Eco,216,5,4,3,4,2,3,4,2,4,3,5,2,3,3,20,9.0,satisfied
186,Male,Loyal Customer,55,Personal Travel,Business,912,4,5,4,4,4,5,3,1,3,4,2,3,3,3,2,15.0,neutral or dissatisfied
187,Male,Loyal Customer,17,Business travel,Business,4541,3,3,2,2,1,3,3,3,3,4,3,3,4,3,0,0.0,neutral or dissatisfied
188,Male,Loyal Customer,54,Business travel,Business,210,4,2,5,2,3,1,3,3,1,3,0,3,3,3,15,12.0,neutral or dissatisfied
189,Male,Loyal Customer,20,Business travel,Business,2458,2,3,2,3,4,3,4,5,2,4,1,3,3,4,34,35.0,neutral or dissatisfied
190,Male,disloyal Customer,82,Personal Travel,Business,4749,5,3,2,3,3,3,5,3,2,3,4,5,3,3,22,9.0,neutral or dissatisfied
191,Female,Loyal Customer,63,Business travel,Eco,2963,2,2,4,3,2,0,4,4,4,2,5,3,2,3,2,2.0,satisfied
192,Female,Loyal Customer,36,Personal Travel,Business,1564,3,3,4,3,1,5,2,3,3,3,2,1,3,4,13,12.0,neutral or dissatisfied
193,Female,Loyal Customer,40,Business travel,Business,81,3,2,3,1,3,3,4,5,2,5,3,1,3,4,23,22.0,satisfied
194,Male,Loyal Customer,12,Personal Travel,Business,1997,3,3,2,1,4,2,1,2,0,4,1,4,4,5,21,30.0,neutral or dissatisfied
195,Female,Loyal Customer,11,Personal Travel,Business,2732,3,4,2,4,3,2,3,3,4,2,2,2,5,4,13,3.0,satisfied
196,Male,Loyal Customer,48,Business travel,Business,450,2,5,2,2,2,4,3,1,4,4,5,3,2,3,15,15.0,neutral or dissatisfied
197,Male,Loyal Customer,8,Business travel,Business,2664,4,3,3,3,1,4,4,4,4,4,4,2,3,3,34,30.0,satisfied
